"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","18","","GET Operations","","com.utc.worlder.controller.CountryControllerTest$GetOperations","shouldReturnHttp404_WhenCountryNotFoundById","Should return HTTP 404 when country not found by ID",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","628","","Persistence Operations","","com.utc.worlder.service.CountryServiceTest$PersistenceOperations","shouldSaveNewCountry","Should save new country successfully",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","25","","Find Operations","","com.utc.worlder.repository.CountryRepositoryTest$FindOperations","shouldFindCountryByIsoCode","Should find country by ISO code",""
"passed","Sun Dec 14 16:10:51 UTC 2025","Sun Dec 14 16:10:52 UTC 2025","1468","","Error Handling","","com.utc.worlder.controller.CountryControllerTest$ErrorHandling","shouldHandleServiceExceptionGracefully","Should handle service exception gracefully",""
"passed","Sun Dec 14 16:10:59 UTC 2025","Sun Dec 14 16:10:59 UTC 2025","6","","Basic CRUD Operations","","com.utc.worlder.service.CountryServiceTest$BasicCrudOperations","shouldReturnAllCountries_WhenRepositoryHasData","Should return all countries when repository has data",""
"passed","Sun Dec 14 16:10:52 UTC 2025","Sun Dec 14 16:10:52 UTC 2025","47","","Error Handling","","com.utc.worlder.controller.CountryControllerTest$ErrorHandling","shouldHandleInvalidJson_WithHttp400","Should handle invalid JSON with HTTP 400",""
"passed","Sun Dec 14 16:10:57 UTC 2025","Sun Dec 14 16:10:57 UTC 2025","72","","Persistence Constraints","","com.utc.worlder.repository.CountryRepositoryTest$PersistenceConstraints","shouldSaveAndRetrieveCountryWithAllFields","Should save and retrieve country with all fields",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","4","","Search Operations","","com.utc.worlder.service.CountryServiceTest$SearchOperations","shouldFindCountriesByContinent","Should find countries by continent [1] continent=Europe, expectedCountryNames=[France, Germany, Spain]",""
"passed","Sun Dec 14 16:10:59 UTC 2025","Sun Dec 14 16:10:59 UTC 2025","4","","Basic CRUD Operations","","com.utc.worlder.service.CountryServiceTest$BasicCrudOperations","shouldReturnEmptyList_WhenNoCountriesExist","Should return empty list when no countries exist",""
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","56","","Filtered Operations","","com.utc.worlder.controller.CountryControllerTest$FilteredOperations","shouldReturnCountriesWithMinimumArea","Should return countries with minimum area",""
"passed","Sun Dec 14 16:10:59 UTC 2025","Sun Dec 14 16:10:59 UTC 2025","3","","Search Operations","","com.utc.worlder.service.CountryServiceTest$SearchOperations","shouldFindCountryByIsoCode","Should find countries by ISO codes [2] isoCode=DEU, expectedName=Germany",""
"passed","Sun Dec 14 16:10:57 UTC 2025","Sun Dec 14 16:10:57 UTC 2025","23","","Statistics Operations","","com.utc.worlder.repository.CountryRepositoryTest$StatisticsOperations","shouldCountTotalCountries","Should count total countries correctly",""
"passed","Sun Dec 14 16:10:57 UTC 2025","Sun Dec 14 16:10:57 UTC 2025","20","","Persistence Constraints","","com.utc.worlder.repository.CountryRepositoryTest$PersistenceConstraints","shouldEnforceUniqueIsoCodeConstraint","Should enforce unique ISO code constraint",""
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","16","","GET Operations","","com.utc.worlder.controller.CountryControllerTest$GetOperations","shouldReturnCountryByName","Should return country by name Should find country by name: 'Germany'",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","4","","Persistence Operations","","com.utc.worlder.service.CountryServiceTest$PersistenceOperations","shouldDeleteCountryById","Should delete country by ID",""
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","37","","GET Operations","","com.utc.worlder.controller.CountryControllerTest$GetOperations","shouldReturnAllCountries_WithHttp200","Should return all countries with HTTP 200",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","4","","Search Operations","","com.utc.worlder.service.CountryServiceTest$SearchOperations","shouldFindCountriesByContinent","Should find countries by continent [2] continent=Asia, expectedCountryNames=[China, Japan, India]",""
"passed","Sun Dec 14 16:10:57 UTC 2025","Sun Dec 14 16:10:57 UTC 2025","23","","Custom Query Operations","","com.utc.worlder.repository.CountryRepositoryTest$CustomQueryOperations","shouldFindAllUniqueContinents","Should find all unique continents",""
"passed","Sun Dec 14 16:10:54 UTC 2025","Sun Dec 14 16:10:54 UTC 2025","15","","GET Operations","","com.utc.worlder.controller.CountryControllerTest$GetOperations","shouldReturnHttp404_WhenCountryNotFoundByName","Should return HTTP 404 when country not found by name",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","8","","Advanced Queries","","com.utc.worlder.service.CountryServiceTest$AdvancedQueries","shouldReturnAllContinents","Should return all unique continents",""
"passed","Sun Dec 14 16:10:52 UTC 2025","Sun Dec 14 16:10:52 UTC 2025","78","","POST/PUT/DELETE Operations","","com.utc.worlder.controller.CountryControllerTest$CrudOperations","shouldReturnHttp404_WhenDeletingNonExistentCountry","Should return HTTP 404 when deleting non-existent country",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","20","","Find Operations","","com.utc.worlder.repository.CountryRepositoryTest$FindOperations","shouldReturnEmpty_WhenCountryNameNotFound","Should return empty when country name not found",""
"passed","Sun Dec 14 16:10:57 UTC 2025","Sun Dec 14 16:10:57 UTC 2025","25","","Custom Query Operations","","com.utc.worlder.repository.CountryRepositoryTest$CustomQueryOperations","shouldFindCountriesWithHighPopulation","Should find countries with population greater than threshold",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","19","","Find Operations","","com.utc.worlder.repository.CountryRepositoryTest$FindOperations","shouldFindCountriesByContinent","Should find countries by continent [2] continent=Asia, expectedCount=0",""
"passed","Sun Dec 14 16:10:59 UTC 2025","Sun Dec 14 16:10:59 UTC 2025","3","","Basic CRUD Operations","","com.utc.worlder.service.CountryServiceTest$BasicCrudOperations","shouldReturnCountry_WhenFoundByValidId","Should return country when found by valid ID",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","6","","Search Operations","","com.utc.worlder.service.CountryServiceTest$SearchOperations","shouldFindCountryByName","Should find countries by valid names Should find country with name: 'Germany'",""
"passed","Sun Dec 14 16:10:49 UTC 2025","Sun Dec 14 16:10:50 UTC 2025","709","","com.utc.worlder.WorlderApplicationTests","","com.utc.worlder.WorlderApplicationTests","contextLoads","contextLoads()",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","21","","Find Operations","","com.utc.worlder.repository.CountryRepositoryTest$FindOperations","shouldFindCountryByExactName","Should find country by exact name",""
